ICM_ID,max_annual_stage,ave_annual_stage,ave_stage_summer,var_stage_summer,ave_annual_salinity,ave_salinity_summer,sal_2wk_max,ave_tmp,ave_tmp_summer,openwater_sed_accum,marsh_int_sed_accum,marsh_edge_sed_accum,tidal_prism_ave,ave_sepmar_stage,ave_octapr_stage,marsh_edge_erosion_rate,ave_annual_tss,stdev_annual_tss,totalland_m2
1.0000,0.2730,0.1597,0.2306,0.0006,9.4311,7.4265,20.3670,19.8800,25.1117,-0.1199,0.0000,0.0000,283822624.0000,0.1123,0.0782,0.0000,0.1608,0.0813,400341632.0000
2.0000,0.2199,0.0980,0.1678,0.0014,30.1226,30.6619,31.2053,20.1981,21.0471,-0.0238,0.0000,0.0000,1406800256.0000,0.0588,0.0355,0.0000,0.0032,0.0608,1929728.0000
3.0000,0.2290,0.1195,0.1889,0.0007,4.4551,1.8550,11.5026,20.8777,24.9383,0.1289,0.0000,0.0000,256003984.0000,0.0775,0.0506,0.0000,1.9177,0.9650,108202112.0000
4.0000,0.2159,0.0965,0.1659,0.0012,23.3823,19.1035,30.9432,20.5753,21.7315,43.0445,0.0000,0.0000,851663296.0000,0.0571,0.0349,0.0000,1.6303,1.1922,42112.0000
5.0000,0.2207,0.1067,0.1766,0.0009,4.3842,0.8892,9.4083,21.2994,24.8896,0.1369,0.0000,0.0000,33770968.0000,0.0657,0.0417,0.0000,3.6178,2.2053,12614760.0000
6.0000,0.2164,0.0959,0.1654,0.0013,32.1267,32.6783,33.2053,20.2360,20.4422,-0.0119,0.0000,0.0000,685384320.0000,0.0567,0.0344,0.0000,0.0067,0.1278,0.0000
7.0000,0.2207,0.1067,0.1766,0.0009,4.4515,0.9738,9.6794,21.2278,24.5936,1.3086,0.0000,0.0000,226945296.0000,0.0657,0.0417,0.0000,3.6773,2.2602,27900864.0000
8.0000,0.2156,0.0963,0.1658,0.0012,16.8899,11.2143,26.4430,20.7945,22.4351,118.2521,0.0000,0.0000,697247296.0000,0.0569,0.0348,0.0000,3.2266,2.1910,108544.0000
9.0000,0.2157,0.0976,0.1671,0.0012,8.0431,4.3015,16.5655,21.0934,23.7501,179.4476,0.0000,0.0000,147601552.0000,0.0579,0.0357,0.0000,4.5898,3.0681,8992.0000
10.0000,0.2148,0.0953,0.1647,0.0012,27.2935,24.0790,32.6750,20.4380,20.9492,129.9559,0.0000,0.0000,345157248.0000,0.0560,0.0342,0.0000,1.6426,1.1705,0.0000
11.0000,0.2212,0.1073,0.1774,0.0009,4.1589,1.2696,9.2897,21.3045,25.5395,0.5013,0.0000,0.0000,37296044.0000,0.0661,0.0420,0.0000,5.8434,3.7144,25397584.0000
12.0000,0.2154,0.0975,0.1669,0.0012,8.9917,3.9370,15.5303,21.2667,24.0914,62.2050,0.0000,0.0000,190373664.0000,0.0579,0.0357,0.2753,5.0890,2.7952,1395008.0000
13.0000,0.2212,0.1072,0.1774,0.0009,4.3800,1.3881,9.6072,21.3151,25.2671,1.1908,0.0000,0.0000,67043816.0000,0.0660,0.0420,0.0000,6.0865,4.0306,16101568.0000
14.0000,0.2105,0.0925,0.1615,0.0012,33.1634,33.6865,34.2053,20.2380,20.3673,-0.0238,0.0000,0.0000,559970880.0000,0.0531,0.0327,0.0000,0.0127,0.2420,0.0000
15.0000,0.2134,0.0951,0.1643,0.0012,18.1082,12.6382,27.1988,20.6886,22.1746,49.1398,0.0000,0.0000,287908608.0000,0.0556,0.0342,0.0000,4.1608,2.6857,0.0000
16.0000,0.2152,0.0977,0.1670,0.0011,8.1200,3.3458,14.0819,21.4736,24.8618,30.2274,0.0000,0.0000,214917328.0000,0.0581,0.0359,0.0000,5.6273,3.1266,0.0000
